structure,tense
"DT,NN,NN,IN,DT,NN",PRESENT_SIMPLE
"DT,NN,NN,WRB,NN",PRESENT_SIMPLE
"DT,NN,NN,WRB,VBD",PRESENT_SIMPLE
"DT,NN,NNS,IN,DT,NN",PRESENT_SIMPLE
"DT,NN,NNS,IN,DT,NNS",PRESENT_SIMPLE
"DT,NN,NNS,IN,JJ,VBZ",PRESENT_SIMPLE
"DT,NN,NNS,IN,NN",PRESENT_SIMPLE
"DT,NN,NNS,IN,NNS",PRESENT_SIMPLE
"DT,NN,NNS,RB",PRESENT_SIMPLE
"DT,NN,NNS,TO,VB,DT,NN,IN,NN",PRESENT_SIMPLE
"DT,NN,NNS,TO,VB,NNS",PRESENT_SIMPLE
"DT,NN,NNS,VBD",PRESENT_SIMPLE
"DT,NN,NNS,VBP,IN,NN",PRESENT_SIMPLE
"DT,NN,NNS,WRB,JJ",PRESENT_SIMPLE
"DT,NN,NNS,WRB,NN",PRESENT_SIMPLE
"DT,NN,NNS,WRB,VBD",PRESENT_SIMPLE
"DT,NN,VBZ,DT,JJ,NN",PRESENT_SIMPLE
"DT,NN,VBZ,DT,NN",PRESENT_SIMPLE
"DT,NN,VBZ,DT,NN,IN,VBG",PRESENT_SIMPLE
"DT,NN,VBZ,DT,NN,NN",PRESENT_SIMPLE
"DT,NN,VBZ,DT,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,IN,CD,NN",PRESENT_SIMPLE
"DT,NN,VBZ,IN,DT,JJ,NN",PRESENT_SIMPLE
"DT,NN,VBZ,IN,DT,NN",PRESENT_SIMPLE
"DT,NN,VBZ,IN,DT,NN,IN,NN",PRESENT_SIMPLE
"DT,NN,VBZ,IN,DT,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,IN,NN",PRESENT_SIMPLE
"DT,NN,VBZ,IN,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,JJ,JJ,JJ",PRESENT_SIMPLE
"DT,NN,VBZ,JJ,NN",PRESENT_SIMPLE
"DT,NN,VBZ,JJ,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,NN,IN,DT,NN",PRESENT_SIMPLE
"DT,NN,VBZ,NN,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,NN,TO,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,NN,TO,VB",PRESENT_SIMPLE
"DT,NN,VBZ,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,NNS,RB",PRESENT_SIMPLE
"DT,NN,VBZ,PRP$,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,RB",PRESENT_SIMPLE
"DT,NN,VBZ,RP,DT,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,RP,IN,NN",PRESENT_SIMPLE
"DT,NN,VBZ,RP,NNS",PRESENT_SIMPLE
"DT,NN,VBZ,TO,DT,NN",PRESENT_SIMPLE
"DT,NN,VBZ,WRB,JJ",PRESENT_SIMPLE
"DT,NNP,VBZ,IN,DT,NNP",PRESENT_SIMPLE
"DT,NNS,NN,CC,NN",PRESENT_SIMPLE
"DT,NNS,NN,IN,DT,NN",PRESENT_SIMPLE
"DT,NNS,NN,IN,DT,NNS",PRESENT_SIMPLE
"DT,NNS,NN,IN,NN",PRESENT_SIMPLE
"DT,NNS,NN,PRP$,NNS",PRESENT_SIMPLE
"DT,NNS,VBG,RB",PRESENT_SIMPLE
"DT,NNS,VBP,IN,DT,NN",PRESENT_SIMPLE
"DT,NNS,VBP,IN,DT,NN,NN",PRESENT_SIMPLE
"DT,NNS,VBP,IN,JJ,NNS",PRESENT_SIMPLE
"DT,NNS,VBP,IN,NN",PRESENT_SIMPLE
"DT,NNS,VBP,IN,NNS",PRESENT_SIMPLE
"DT,NNS,VBP,JJ",PRESENT_SIMPLE
"DT,NNS,VBP,JJ,IN,DT,NN",PRESENT_SIMPLE
"DT,NNS,VBP,NN,TO,VB",PRESENT_SIMPLE
"DT,NNS,VBP,NNS,IN,DT,NNS",PRESENT_SIMPLE
"DT,NNS,VBP,NNS,IN,NNS",PRESENT_SIMPLE
"DT,NNS,VBP,RB",PRESENT_SIMPLE
"DT,NNS,VBP,VB",PRESENT_SIMPLE
"DT,NNS,VBP,VBN,TO,VB",PRESENT_SIMPLE
"NNS,NN,IN,NNS",PRESENT_SIMPLE
"NNS,VBP,IN,DT,NN",PRESENT_SIMPLE
"NNS,VBP,WRB,PRP,VBP,JJ",PRESENT_SIMPLE
"PRP$,NN,NNS,NN",PRESENT_SIMPLE
"PRP$,NN,VBZ,NNS,IN,NN",PRESENT_SIMPLE
"PRP,NN,NNS,IN,DT,NN",PRESENT_SIMPLE
"PRP,NNS,IN,DT,JJ,NN",PRESENT_SIMPLE
"PRP,NNS,JJ,NNS,IN,NN",PRESENT_SIMPLE
"PRP,NNS,NN,IN,NN",PRESENT_SIMPLE
"PRP,NNS,VBP,IN,NN",PRESENT_SIMPLE
"PRP,NNS,VBP,RB",PRESENT_SIMPLE
"PRP,RB,VBZ,DT,NN",PRESENT_SIMPLE
"PRP,RB,VBZ,IN,NN",PRESENT_SIMPLE
"PRP,RB,VBZ,IN,NNS",PRESENT_SIMPLE
"PRP,VBD,JJ,NNS",PRESENT_SIMPLE
"PRP,VBD,VBG,NNS",PRESENT_SIMPLE
"PRP,VBP,DT,NN,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,DT,NN,IN,NN",PRESENT_SIMPLE
"PRP,VBP,DT,NN,IN,NNS",PRESENT_SIMPLE
"PRP,VBP,DT,NN,RB",PRESENT_SIMPLE
"PRP,VBP,IN,DT,JJ,NN",PRESENT_SIMPLE
